File,width,height,hum_like,hum_skull,hum_eye,Face
18.jpg,450,450,38,0,1,18
27manipulated2.jpg,450,450,39,0,0,27
29.jpg,450,450,75,0,1,29
34manipulated3.jpg,450,450,72,0,0,34
35.jpg,450,450,75,0,1,35
37manipulated2.jpg,450,450,75,0,0,37
18manipulated.jpg,450,450,38,0,0,18
75.jpg,450,450,40,0,1,75
29manipulated4.jpg,450,450,75,0,0,29
34.jpg,450,450,72,0,1,34
27.jpg,450,450,39,0,0,27
95manipulated3.jpg,450,450,93,1,0,95
92.jpg,450,450,87,1,1,92
75manipulated2.jpg,450,450,40,0,0,75
35manipulated3.jpg,450,450,75,0,0,35
37.jpg,450,450,75,0,1,37
95.jpg,450,450,93,1,1,95
92manipulated2.jpg,450,450,87,1,0,92
